P_k(d > d*) with falling-factorial weights F_{d,k} (same as M_k); d* = quantile(ds, q) on the degree multiset ds used throughout the summaries.
=== q = 0.90 (d_p90) — P_k for k = 0..3 ===
network                     k=0         k=1         k=2         k=3
-------------------  ----------  ----------  ----------  ----------
neworleans               0.0994      0.4615      0.7993      0.9548
citations                0.0819      0.4434      0.9911      1.0000
indian_microfinance      0.0914      0.2320      0.4358      0.6415
power                    0.0700      0.1976      0.4844      0.8010
highschool               0.1012      0.1893      0.3022      0.4300
celegans_chemical        0.0833      0.1771      0.3167      0.4841

=== q = 0.95 (d_p95) — P_k for k = 0..3 ===
network                     k=0         k=1         k=2         k=3
-------------------  ----------  ----------  ----------  ----------
neworleans               0.0491      0.2977      0.6415      0.8850
citations                0.0460      0.3646      0.9808      0.9999
indian_microfinance      0.0462      0.1349      0.2897      0.4835
power                    0.0423      0.1353      0.3759      0.6958
highschool               0.0491      0.1010      0.1768      0.2741
celegans_chemical        0.0467      0.1105      0.2182      0.3643

=== q = 0.99 (d_p99) — P_k for k = 0..3 ===
network                     k=0         k=1         k=2         k=3
-------------------  ----------  ----------  ----------  ----------
neworleans               0.0099      0.0981      0.3350      0.6649
citations                0.0100      0.2049      0.9278      0.9989
indian_microfinance      0.0085      0.0325      0.0926      0.2048
power                    0.0053      0.0246      0.1015      0.2772
highschool               0.0123      0.0283      0.0554      0.0955
celegans_chemical        0.0067      0.0195      0.0469      0.0941

