# s_bar_k from Appendix E; P_k(d > d_pQ) with F_{i,k} weights; k = 1..15.
network	N	k	s_bar_k	s_bar_frac	P_k_p90	P_k_p95	P_k_p99
citations	66408	1	0.0188022	2.83132e-07	0.443379	0.364637	0.204859
citations	66408	2	10.2491	0.000154335	0.991081	0.980822	0.927765
citations	66408	3	35.644	0.000536743	0.999989	0.999933	0.998903
citations	66408	4	58.9367	0.000887494	1	1	0.999991
citations	66408	5	78.2296	0.00117801	1	1	1
citations	66408	6	94.7685	0.00142706	1	1	1
citations	66408	7	109.702	0.00165194	1	1	1
citations	66408	8	123.742	0.00186336	1	1	1
citations	66408	9	137.282	0.00206725	1	1	1
citations	66408	10	150.532	0.00226678	1	1	1
citations	66408	11	163.609	0.0024637	1	1	1
citations	66408	12	176.578	0.00265899	1	1	1
citations	66408	13	189.477	0.00285322	1	1	1
citations	66408	14	202.328	0.00304674	1	1	1
citations	66408	15	215.147	0.00323977	1	1	1
neworleans	63392	1	0.038801	6.12081e-07	0.461515	0.297726	0.0981336
neworleans	63392	2	8.03391	0.000126734	0.799333	0.64147	0.335
neworleans	63392	3	39.3985	0.000621506	0.9548	0.885014	0.664948
neworleans	63392	4	80.0882	0.00126338	0.994233	0.978647	0.897244
neworleans	63392	5	116.812	0.00184269	0.999516	0.997354	0.978292
neworleans	63392	6	148.81	0.00234746	0.999967	0.999732	0.996172
neworleans	63392	7	177.865	0.00280579	0.999998	0.999975	0.999375
neworleans	63392	8	205.122	0.00323576	1	0.999998	0.999902
neworleans	63392	9	231.201	0.00364717	1	1	0.999985
neworleans	63392	10	256.463	0.00404567	1	1	0.999998
neworleans	63392	11	281.132	0.00443482	1	1	1
neworleans	63392	12	305.359	0.00481699	1	1	1
neworleans	63392	13	329.247	0.00519383	1	1	1
neworleans	63392	14	352.875	0.00556655	1	1	1
neworleans	63392	15	376.297	0.00593603	1	1	1
indian_microfinance	1773	1	0.115145	6.49435e-05	0.232043	0.134888	0.0325367
indian_microfinance	1773	2	6.40223	0.00361096	0.435765	0.289714	0.0926154
indian_microfinance	1773	3	23.8107	0.0134296	0.641495	0.48354	0.204817
indian_microfinance	1773	4	47.086	0.0265572	0.807625	0.679126	0.375717
indian_microfinance	1773	5	71.0923	0.0400972	0.917084	0.838331	0.582985
indian_microfinance	1773	6	93.0907	0.0525046	0.972223	0.93596	0.769747
indian_microfinance	1773	7	112.509	0.0634567	0.992645	0.979654	0.892709
indian_microfinance	1773	8	130.027	0.0733373	0.998385	0.994539	0.955573
indian_microfinance	1773	9	146.512	0.0826348	0.999694	0.998702	0.982879
indian_microfinance	1773	10	162.567	0.0916903	0.999949	0.99972	0.99369
indian_microfinance	1773	11	178.539	0.100699	0.999992	0.999944	0.997749
indian_microfinance	1773	12	194.614	0.109765	0.999999	0.99999	0.99922
indian_microfinance	1773	13	210.895	0.118948	1	0.999998	0.999738
indian_microfinance	1773	14	227.444	0.128282	1	1	0.999915
indian_microfinance	1773	15	244.299	0.137788	1	1	0.999973
power	4941	1	0.374659	7.58265e-05	0.197604	0.135274	0.0246436
power	4941	2	36.409	0.00736875	0.484392	0.375852	0.101516
power	4941	3	167.647	0.0339297	0.800998	0.695816	0.277236
power	4941	4	354.459	0.0717383	0.956696	0.903121	0.511484
power	4941	5	554.578	0.11224	0.995583	0.981173	0.730608
power	4941	6	750.648	0.151922	1	0.998344	0.882253
power	4941	7	939.617	0.190167	1	1	0.959866
power	4941	8	1125.61	0.22781	1	1	0.989618
power	4941	9	1314.76	0.266092	1	1	0.998119
power	4941	10	1512.79	0.30617	1	1	0.999816
power	4941	11	1724.66	0.349051	1	1	1
power	4941	12	1955.07	0.395684	1	1	1
power	4941	13	2209.12	0.4471	1	1	1
power	4941	14	2493.05	0.504564	1	1	1
power	4941	15	2815.29	0.569782	1	1	1
celegans_chemical	444	1	0.0910023	0.00020496	0.177085	0.110473	0.0194712
celegans_chemical	444	2	2.60226	0.00586095	0.316679	0.218192	0.046869
celegans_chemical	444	3	7.29649	0.0164335	0.484092	0.364295	0.0940553
celegans_chemical	444	4	12.8748	0.0289972	0.647724	0.525452	0.160608
celegans_chemical	444	5	18.5916	0.0418731	0.781077	0.673528	0.239866
celegans_chemical	444	6	24.1965	0.0544966	0.874563	0.790642	0.322816
celegans_chemical	444	7	29.6498	0.0667788	0.932803	0.873161	0.402305
celegans_chemical	444	8	34.9832	0.078791	0.965953	0.926535	0.474562
celegans_chemical	444	9	40.243	0.0906373	0.983556	0.95896	0.538521
celegans_chemical	444	10	45.4707	0.102412	0.992394	0.977758	0.594595
celegans_chemical	444	11	50.6996	0.114188	0.996625	0.988267	0.64375
celegans_chemical	444	12	55.9549	0.126025	0.998563	0.993965	0.687021
celegans_chemical	444	13	61.2562	0.137964	0.999414	0.996974	0.725319
celegans_chemical	444	14	66.6187	0.150042	0.999772	0.998521	0.759384
celegans_chemical	444	15	72.0554	0.162287	0.999915	0.999297	0.7898
highschool	326	1	0.056304	0.000172712	0.189292	0.101036	0.0283247
highschool	326	2	1.92714	0.00591148	0.302202	0.176768	0.0553644
highschool	326	3	5.32653	0.016339	0.430012	0.274061	0.0954941
highschool	326	4	9.55836	0.0293201	0.560048	0.386238	0.149016
highschool	326	5	14.1156	0.0432994	0.679768	0.503311	0.2139
highschool	326	6	18.7717	0.0575818	0.779971	0.614722	0.286169
highschool	326	7	23.4373	0.0718935	0.856777	0.712402	0.361141
highschool	326	8	28.0871	0.0861568	0.91125	0.792341	0.43472
highschool	326	9	32.7247	0.100382	0.947401	0.85424	0.504089
highschool	326	10	37.3645	0.114615	0.970078	0.900136	0.56773
highschool	326	11	42.0243	0.128909	0.983627	0.93303	0.625099
